Country,GDP,info
Aruba,20911.19,N/A
Africa Eastern and Southern,631.6,N/A
Afghanistan,,N/A
Africa Western and Central,532.27,N/A
Angola,527.46,N/A
Albania,1281.66,"Erind Bedalli,8,277,Honourable mention;Renis Kariqi,5,327,nan;Arlind Kopliku,3,364,nan;Ariel Apostoli,2,398,nan;Andi Bejleri,2,398,nan"
Andorra,22809.09,N/A
Arab World,2736.6,N/A
United Arab Emirates,29909.01,N/A
Argentina,7168.98,"Iván Angiono,26,54,Silver medal;Leandro Groisman,23,73,Silver medal;Carlos di Fiore,21,97,Silver medal;Sergio Yuhjtman,15,164,Bronze medal;Martín Miranda,12,212,Bronze medal;Diego Lis,6,312,nan"
Armenia,676.15,"Aram Khachatryan,18,127,Bronze medal;Grigor Aslanyan,16,148,Bronze medal;Levon Nurbekyan,5,327,nan;Tigran Petrosyan,3,364,nan;Hovhannes Nurijanyan,2,398,nan"
American Samoa,,N/A
Antigua and Barbuda,10502.94,N/A
Australia,19695.73,"Peter McNamara,36,10,Gold medal;Stewart Wilcox,14,181,Bronze medal;Yiying Zhao,14,181,Bronze medal;David Chan,13,199,Bronze medal;Bobbi Ramchen,12,212,Bronze medal;Hugh Miller,8,277,nan"
Austria,24558.76,"Dénes Koch,12,212,Bronze medal;Markus Windisch,10,243,Honourable mention;Doris Mühlgassner,7,296,nan;Martin Windischer,5,327,nan;Franz Jungreitmayer,4,347,nan;Helmar Lautscham,3,364,nan"
Azerbaijan,703.67,"Fuad Malikov,15,164,Bronze medal;Kamran Mammadov,3,364,nan;Fuad Gakharamanov,1,429,nan"
Burundi,135.61,N/A
Belgium,23015.07,"Bart van Gasse,8,277,nan;Timoty Snauwaert,5,327,nan;Ali Alpan,3,364,nan;Richard Comblen,3,364,nan;Nicolas Franco,3,364,nan;Joris Geeroms,3,364,nan"
Benin,508.35,N/A
Burkina Faso,260.44,N/A
Bangladesh,410.05,N/A
Bulgaria,1770.91,"Vladimir Barzov,37,7,Gold medal;Greta Panova,36,10,Gold medal;Rumen Zarev,32,28,Gold medal;Aleksandar Dimitrov Lishkov,28,46,Silver medal;Tseno Tselkov,28,46,Silver medal;Nikolay Andreev,24,65,Silver medal"
Bahrain,12291.83,N/A
The Bahamas,25234.14,N/A
