Country,GDP,info
Aruba,14970.15,na
Africa Eastern and Southern,710.18,na
Afghanistan,,na
Africa Western and Central,571.88,na
Angola,466.68,na
Albania,367.28,"Gjergji Guri,5,284,nan;Mirela Ciperiani,4,311,nan;Pirro Bracka,3,339,nan;Jonada Rapo,3,339,nan;Gjergji Sugari,2,360,nan;Ermir Qeli,1,390,nan"
Andorra,17024.31,na
Arab World,2054.97,na
United Arab Emirates,25019.37,na
Argentina,6957.42,"Luis Silvestre,21,83,Silver medal;Martin Szew,13,161,Bronze medal;Agustin Bompadre,5,284,nan;Lucas Hergert,4,311,nan;Matilde Lalin,2,360,nan;Claudio Tessone,1,390,nan"
Armenia,347.47,"Artur Barkhoudarian,30,28,Gold medal;Vahe Poladian,25,52,Silver medal;Gourgen Assatrian,9,210,nan;Tigran Sedrakian,6,265,nan;Vardgues Levonian,5,284,nan;Vagan Keropian,3,339,nan"
American Samoa,,na
Antigua and Barbuda,8129.14,na
Australia,17699.56,"Anthony Henderson,30,28,Gold medal;William Hart,27,44,Silver medal;Frank Calegari,21,83,Silver medal;William Hawkins,17,122,Bronze medal;Rupert McCallum,17,122,Bronze medal;Simon Schwarz,13,161,Bronze medal"
Austria,24081.53,"Gerald Hörhan,27,44,Silver medal;Theresia Eisenkölbl,18,111,Bronze medal;Clemens Heuberger,12,176,Bronze medal;Andreas Ipp,12,176,Bronze medal;Christofer Tautermann,12,176,Bronze medal;Andreas Knappe,6,265,nan"
Azerbaijan,209.53,"Ahmadov Anar Sahiboğlu,18,111,Bronze medal;Rahim Huseynov Isakoğlu,8,225,nan;Memmedov Namıq Veliagaoğlu,4,311,nan;Memmedov Bayram Nizamioğlu,2,360,nan;Eminnagiyev Xag Zahidoğlu,1,390,nan"
Burundi,168.96,na
Belgium,22283.94,"Frederic Bourgeois,13,161,Bronze medal;Xavier Hainaut,10,199,Honourable mention;Didier Smets,10,199,nan;Anne Verhulst,8,225,nan;Jan de Merlier,7,241,nan;Adriaan Herremans,7,241,nan"
Benin,398.61,na
