Country,GDP,info
Aruba,19833.83,na
Africa Eastern and Southern,673.52,na
Afghanistan,,na
Africa Western and Central,523.22,na
Angola,387.69,na
Albania,1033.24,"Gerard Gjonaj,11,227,nan;Erald Vuçini,11,227,nan;Erind Bedalli,5,371,nan;Aurel Koroçi,4,394,nan;Valentin Tako,3,422,nan"
Andorra,18884.18,na
Arab World,2557.57,na
United Arab Emirates,27261.91,na
Argentina,7735.32,"Martín Mereb,16,129,Bronze medal;Juan Sebastian Rodriguez,14,159,Bronze medal;Fernando Pastawski,12,202,Bronze medal;Matias Del Hoyo,8,292,nan;Iván Angiono,7,316,nan;Leandro Groisman,6,344,nan"
Armenia,575.63,"David Harutyunyan,17,119,Bronze medal;Gagik Amirkhanyan,15,138,Bronze medal;Sevak Mkrtchyan,12,202,Bronze medal;Suren Samarchyan,10,248,nan;Tigran Grigoryan,9,270,nan;Aram Kalantaryan,4,394,nan"
American Samoa,,na
Antigua and Barbuda,10379.16,na
Australia,20712.67,"Geoffrey Chu,38,4,Gold medal;Andrew Cheeseman,20,85,Silver medal;Kester Tong,17,119,Bronze medal;Peter McNamara,15,138,Bronze medal;Kevin Sun,15,138,Bronze medal;Allan Sly,11,227,Honourable mention"
Austria,27183.48,"Stephan Wagner,19,95,Silver medal;Daniel Dvořák,14,159,Bronze medal;Otmar Ertl,12,202,Bronze medal;Dénes Koch,11,227,nan;Robert Aschenbrenner,10,248,nan;Bernhard Kabelka,9,270,nan"
Azerbaijan,573.89,"Namig Kouliyev,14,159,Bronze medal;Nazim Balayev,5,371,nan;Farhad Guliyev,5,371,nan;Taleh Orucov,4,394,nan;Elcin Bagirov,3,422,nan;Islam Rizvanoglu,3,422,nan"
Burundi,130.75,na
Belgium,25252.8,"Pierre-Emmanuel Caprace,12,202,Bronze medal;Stefan Hallez,12,202,Bronze medal;Zhe Han,10,248,nan;Sarah van Bogaert,7,316,nan;Jeroen Demeyer,5,371,nan;Bram Minnaert,5,371,nan"
Benin,541.7,na
Burkina Faso,293.89,na
Bangladesh,404.49,na
Bulgaria,1659.72,"Dimitar Jetchev,35,13,Gold medal;Ivan Petrakiev,31,23,Gold medal;Alexandar Popov,28,37,Gold medal;Vladimir Barzov,26,45,Silver medal;Greta Panova,26,45,Silver medal;Nikolay Penev,24,56,Silver medal"
Bahrain,9566.1,na
The Bahamas,23991.7,na
Bosnia and Herzegovina,1128.4,"Damir Hasić,18,109,Bronze medal;Mahir Hadžić,13,178,Bronze medal;Amer Krivošija,13,178,Bronze medal;Darko Sinanović,8,292,nan;Tarik Hadžić,7,316,nan;Emir Sirbubalo,6,344,nan"
Belarus,1210.59,"Ivan Lossev,36,6,Gold medal;Ivan Razhnou,32,20,Gold medal;Artsiom Kokhan,30,28,Gold medal;Alexander Usnich,25,54,Silver medal;Dzmitry Badziahin,23,62,Silver medal;Trafim Lasy,21,78,Silver medal"
Belize,4283.48,na
Bermuda,54245.46,na
Bolivia,981.75,na
Brazil,3456.42,"Humberto Silva Naves,17,119,Bronze medal;Sérgio Tadao Martins,14,159,Bronze medal;Fabrício Siqueira Benevides,13,178,Bronze medal;Pedro Paulo de Simoni Gouveia,12,202,Bronze medal;Daniel Nobuo Uno,11,227,nan;Daniel Massaki Yamamoto,8,292,nan"
Barbados,11173.95,na
Brunei Darussalam,14065.7,na
Bhutan,699.33,na
Botswana,3242.14,na
Central African Republic,273.43,na
Canada,22315.25,"David Arthur,18,109,Bronze medal;David Pritchard,17,119,Bronze medal;Jimmy Chui,16,129,Bronze medal;Yin (Jessie) Lei,9,270,nan;David Nicholson,8,292,nan;James Lee,6,344,nan"
Central Europe and the Baltics,3989.19,na
Switzerland,41695.69,"Simon Baeriswyl,19,95,Silver medal;Jean-Marie Droz,16,129,Bronze medal;Lorenz Reichel,15,138,Bronze medal;Thomas Huber,13,178,Bronze medal;David Moser,9,270,nan;Hasan Inci,7,316,nan"
Channel Islands,43247.69,na
Chile,4980.01,na
China,873.3,"Xin Li,36,6,Gold medal;Ruochuan Liu,35,13,Gold medal;Xiaolong Cheng,32,20,Gold medal;Zhenhua Qu,30,28,Gold medal;Wenbin Kong,27,39,Silver medal;Qihui Zhu,22,70,Silver medal"
Ivory Coast,1154.48,na
Cameroon,786.85,na
Democratic Republic of the Congo,99.76,na
"Congo, Rep.",780.59,na
Colombia,2236.07,"Emerson Julian León Guerrero,20,85,Silver medal;Luis Guillermo Serrano,14,159,Bronze medal;David Otero,8,292,nan;Sebastian Ramirez,6,344,nan;Angélica Osorno,5,371,nan;Joaquín Andrés Valderrama,2,435,nan"
Comoros,726.49,na
Cabo Verde,1317.57,na
Costa Rica,3653.75,na
Caribbean small states,4928.36,na
Cuba,2562.27,"Olemis Lang Camina,20,85,Silver medal;Daniel Hernández Díaz,14,159,Bronze medal;Franklin Vera Pacheco,14,159,Bronze medal;Yunior Sánchez Fernández,13,178,Bronze medal;Rolando Trujillo Rasúa,12,202,Bronze medal;Román Fresneda Quiroga,4,394,nan"
Curacao,,na
Cayman Islands,,na
Cyprus,15287.92,"Georgos Palechoros,11,227,Honourable mention;Demetris Christofides,9,270,nan;Evis Ieronymou,7,316,nan;Nikolas Socratous,5,371,nan;Theodora Manoli,2,435,nan;Maria Stylianoy,1,444,nan"
Czechia,6337.42,na
Germany,26734.94,"Daniel Herden,26,45,Silver medal;Martin Olbermann,20,85,Silver medal;Julian Arndts,18,109,Bronze medal;Thomas Jäger,16,129,Bronze medal;Christian Reiher,15,138,Bronze medal;Martin Langer,13,178,Bronze medal"
Djibouti,745.21,na
Dominica,4829.24,na
Denmark,33440.79,"Thomas Kragh,16,129,Bronze medal;Anders Schack-Nielsen,14,159,Bronze medal;Stefan Holm,9,270,nan;Anette Svejsø Jensen,7,316,nan;Kristian Støvrig Sørensen,5,371,nan"
Dominican Republic,2631.74,na
Algeria,1602.86,na
Ecuador,1582.76,na
Egypt,1297.57,na
Eritrea,292.35,na
